ID,paperTitle,year,publisher,citationCount
W4390810698,Path planning algorithms in the autonomous driving system: A comprehensive review,2024,Robotics and Autonomous Systems,117
W4401839711,BEV perception for autonomous driving: State of the art and future perspectives,2024,Expert Systems with Applications,15
W4394622769,UAV‐based simultaneous localization and mapping in outdoor environments: A systematic scoping review,2024,Journal of Field Robotics,14
W4391407136,A Safe Motion Planning and Reliable Control Framework for Autonomous Vehicles,2024,IEEE Transactions on Intelligent Vehicles,14
W4399744589,Research on Autonomous Vehicle Path Planning Algorithm Based on Improved RRT* Algorithm and Artificial Potential Field Method,2024,Sensors,12
W4393164544,Lunar Rover Collaborated Path Planning with Artificial Potential Field-Based Heuristic on Deep Reinforcement Learning,2024,Aerospace,9
W4392359267,Reducing Oscillations for Obstacle Avoidance in a Dense Environment Using Deep Reinforcement Learning and Time-Derivative of an Artificial Potential Field,2024,Drones,7
W4406269831,Survey of Autonomous Vehicles’ Collision Avoidance Algorithms,2025,Sensors,6
W4394994394,Autonomous Vehicle Localization Without Prior High-Definition Map,2024,IEEE Transactions on Robotics,6
W4402900199,Enhanced Visual SLAM for Collision-Free Driving with Lightweight Autonomous Cars,2024,Sensors,4
W4390604416,FAST-LIO2: Fast Direct LiDAR-Inertial Odometry,2024,SSRN Electronic Journal,4
W4401840696,An active SLAM with multi-sensor fusion for snake robots based on deep reinforcement learning,2024,Mechatronics,3
W4392931855,Human-in-the-Loop Assisted Trafficability Prediction for Planetary Rover on Soft Dangerous Terrains,2024,IEEE Transactions on Automation Science and Engineering,3
W4391514168,Deep‐Q‐Network hybridization with extended Kalman filter for accelerate learning in autonomous navigation with auxiliary security module,2024,Transactions on Emerging Telecommunications Technologies,2
W4401553790,Evolutionary optimization for risk-aware heterogeneous multi-agent path planning in uncertain environments,2024,Frontiers in Robotics and AI,2
W4403678186,Towards Safe Motion Planning for Autonomous Driving in Highway,2024,IEEE Transactions on Vehicular Technology,2
W4403289949,DZ-SLAM: A SAM-based SLAM algorithm oriented to dynamic environments,2024,Displays,2
W4405785728,RaNDT SLAM: Radar SLAM Based on Intensity-Augmented Normal Distributions Transform,2024,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),1
W4402892528,Graph Laplacian Processing based multi-modal localization backend for robots and autonomous Systems,2024,IEEE Transactions on Cognitive and Developmental Systems,1
W4399851083,MCG-SLAM: Tightly coupled SLAM for multi-factor constraint graph optimisation,2024,Information Sciences,1
